"","year","name","log.catch"
"147",2001,"pink_odd",8.1066606674004
"148",2001,"sockeye",7.04600913038252
"149",2002,"chum",7.19408933015727
"150",2002,"coho",6.68945928191536
"151",2002,"pink_even",7.9408333047067
"152",2002,"sockeye",7.00191993503323
"153",2003,"chum",7.2286757865342
"154",2003,"coho",6.56860531297303
"155",2003,"pink_odd",8.09421738881959
"156",2003,"sockeye",7.16348685453189
"157",2004,"chum",7.1943312891178
"158",2004,"coho",6.67655351563244
"159",2004,"pink_even",7.99941094492869
"160",2004,"sockeye",7.20587132209938
"161",2005,"chum",6.99214089675356
"162",2005,"coho",6.63504883251366
"163",2005,"pink_odd",8.20733886855224
"164",2005,"sockeye",7.19324289964736
"165",2006,"chum",7.26012214020425
"166",2006,"coho",6.58259714874153
"167",2006,"pink_even",7.85511985128853
"168",2006,"sockeye",7.02580186579344
"169",2007,"chum",7.16329012301201
"170",2007,"coho",6.49874697273263
"171",2007,"pink_odd",8.1550904002971
"172",2007,"sockeye",7.14963915867092
"173",2008,"chum",7.21180939041424
"174",2008,"coho",6.57923363745382
"175",2008,"pink_even",7.91858422291428
"176",2008,"sockeye",6.96756908204343
"177",2009,"chum",7.20235582886272
"178",2009,"coho",6.57267914620634
"179",2009,"pink_odd",7.97608254187517
"180",2009,"sockeye",6.99215173113401
"181",2010,"chum",7.21103209750324
"182",2010,"coho",6.5732611312778
"183",2010,"pink_even",8.02631052015828
"184",2010,"sockeye",6.98845750561048
"185",2011,"chum",7.17039474172102
"186",2011,"coho",6.50088084973513
"187",2011,"pink_odd",8.0597002502208
"188",2011,"sockeye",7.23205093658189
"189",2012,"chum",7.25785928535169
"190",2012,"coho",6.43605127520224
"191",2012,"pink_even",7.82139392701966
"192",2012,"sockeye",7.14607638258435
"193",2013,"chum",7.26839118041168
"194",2013,"coho",6.73112029642699
"195",2013,"pink_odd",8.34850669296639
"196",2013,"sockeye",7.12764415522726
"197",2014,"chum",6.96863697903109
"198",2014,"coho",6.7361785034608
"199",2014,"pink_even",7.97390340203759
"200",2014,"sockeye",7.11055324823193
"201",2015,"chum",7.20669791564672
"202",2015,"coho",6.52531217233749
"203",2015,"pink_odd",8.28181689581182
"204",2015,"sockeye",7.19541308076877
"205",2016,"chum",7.08795584568252
"206",2016,"coho",6.53787473155606
"207",2016,"pink_even",7.57033028199683
"208",2016,"sockeye",7.11378517349843
"209",2017,"chum",7.3370639233477
"210",2017,"coho",6.67256415067907
"211",2017,"pink_odd",8.15122021814618
"212",2017,"sockeye",7.04073438827726
"213",2018,"chum",7.21916336026464
"214",2018,"coho",6.48379747600892
"215",2018,"pink_even",7.60675233491071
"216",2018,"sockeye",6.7976188516833
"217",2019,"chum",7.2292487907395
"218",2019,"coho",6.54991518113092
"219",2019,"pink_odd",8.03380202606703
"220",2019,"sockeye",6.99731721509009
"221",2020,"chum",6.88737493915609
"222",2020,"coho",6.31639813505563
"223",2020,"pink_even",7.76917715735197
"224",2020,"sockeye",6.65826855646812
